vitB1	growth
0 	17.21000000000000100
0	16.46000000000000100
0	26.60999999999999900
0	13.88000000000000100
0	9.94999999999999930
0	15.21000000000000100
0	24.14000000000000100
0	19.23000000000000000
0	19.71000000000000100
0	9.40000000000000040
0	14.63000000000000100
1	17.34000000000000000
1	27.59000000000000000
1	27.25000000000000000
1	25.10999999999999900
1	21.76000000000000200
1	27.37999999999999900
1	27.60000000000000100
1	34.97999999999999700
1	25.82999999999999800
1	25.35999999999999900
1	26.92000000000000200
